height,event,inputs,custody,withdrawal_paid,reward_paid,withdrawal_claims,reward_claims,alice_cash,bob_cash,alice_quantity,bob_quantity,alice_pnl,bob_pnl,U,T,F,S,I,Z,W,R
86,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
87,oracle,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
87,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
88,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159847000000000000000,129901000000000000000,0,0,0,0,0,289748000000000000000,148000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
89,open_fill,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159817000000000000000,129891000000000000000,100000000,-100000000,0,0,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
89,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159817000000000000000,129891000000000000000,100000000,-100000000,0,0,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
90,funding,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159807000000000000000,129901000000000000000,100000000,-100000000,0,0,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
90,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159807000000000000000,129901000000000000000,100000000,-100000000,0,0,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
91,oracle,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159807000000000000000,129901000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
91,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159807000000000000000,129901000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
92,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,159807000000000000000,129901000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,289708000000000000000,188000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
93,close_fill,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,232000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
93,height_boundary,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,232000000000000000,13104000000000000000,5000000000000000000,0,10000000000000000000,0
94,reward_reserved,345000000000000000000,318000000000000000000,20000000000000000000,7000000000000000000,2,47,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
94,native_reward_claims_assumed,345000000000000000000,317000000000000000000,20000000000000000000,8000000000000000000,2,54,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,0
94,height_boundary,345000000000000000000,317000000000000000000,20000000000000000000,8000000000000000000,2,54,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,0
95,height_boundary,345000000000000000000,317000000000000000000,20000000000000000000,8000000000000000000,2,54,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,0
96,height_boundary,345000000000000000000,317000000000000000000,20000000000000000000,8000000000000000000,2,54,169796000000000000000,119868000000000000000,0,0,0,0,0,289664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,0
97,withdrawal_reserved,345000000000000000000,317000000000000000000,20000000000000000000,8000000000000000000,2,54,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,20000000000000000000,0
97,native_withdrawal_assumed,345000000000000000000,307000000000000000000,30000000000000000000,8000000000000000000,3,54,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,0
97,height_boundary,345000000000000000000,307000000000000000000,30000000000000000000,8000000000000000000,3,54,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,210000000000000000,12126000000000000000,5000000000000000000,0,10000000000000000000,0
98,reward_reserved,345000000000000000000,307000000000000000000,30000000000000000000,8000000000000000000,3,54,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
98,native_reward_claims_assumed,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
98,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
99,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
100,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
101,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
102,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
103,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
104,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
105,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
106,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
107,height_boundary,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,190000000000000000,11146000000000000000,5000000000000000000,0,10000000000000000000,0
108,reward_reserved,345000000000000000000,306000000000000000000,30000000000000000000,9000000000000000000,3,61,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,168000000000000000,10168000000000000000,5000000000000000000,0,10000000000000000000,1000000000000000000
108,native_reward_claims_assumed,345000000000000000000,305000000000000000000,30000000000000000000,10000000000000000000,3,68,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,168000000000000000,10168000000000000000,5000000000000000000,0,10000000000000000000,0
108,height_boundary,345000000000000000000,305000000000000000000,30000000000000000000,10000000000000000000,3,68,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,168000000000000000,10168000000000000000,5000000000000000000,0,10000000000000000000,0
109,original_period1_withdrawal_paid_assumed,345000000000000000000,295000000000000000000,40000000000000000000,10000000000000000000,4,68,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,168000000000000000,10168000000000000000,5000000000000000000,0,0,0
109,height_boundary,345000000000000000000,295000000000000000000,40000000000000000000,10000000000000000000,4,68,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,168000000000000000,10168000000000000000,5000000000000000000,0,0,0
110,height_boundary,345000000000000000000,295000000000000000000,40000000000000000000,10000000000000000000,4,68,159796000000000000000,119868000000000000000,0,0,0,0,0,279664000000000000000,168000000000000000,10168000000000000000,5000000000000000000,0,0,0
